Metadata_broad_sample,Metadata_pert_iname,Metadata_pert_iname2,Metadata_moa,Metadata_target
BRD-K60274257-001-01-1,NA,dephostatin,tyrosine phosphatase inhibitor,"PTPN1, PTPN6"
BRD-K60298136-001-01-7,ITE,BRD-K60298136,aryl hydrocarbon receptor agonist|aryl hydrocarbon receptor ligand,AHR
BRD-K60476892-001-02-1,NA,YC-1,activator of soluble guanylyl cyclase|guanylate cyclase activator|hypoxia inducible factor inhibitor,"HIF1A, GUCY1A2, GUCY1A3, GUCY1B3"
BRD-K60511616-236-01-4,pravastatin,BRD-K60511616,HMGCR inhibitor,"HMGCR, SLCO1B1"
BRD-K60640630-001-03-7,mometasone-furoate,mometasone furoate,glucocorticoid receptor agonist,NR3C1
BRD-K60690191-003-02-1,MPEP,MPEP,glutamate receptor antagonist,"GRM1, GRM4, GRM5"
BRD-K60923938-001-02-8,NA,VERATRIDINE,sodium channel activator,"SCN1A, SCN3A, SCN8A, SCN9A"
BRD-K60932973-001-01-7,NA,R(+)-6-bromo-APB,dopamine receptor agonist,NA
BRD-K61097567-001-03-6,SB-218795,BRD-K61097567,tachykinin antagonist,TACR3
BRD-K61177364-003-01-1,NBI-27914,BRD-K61177364,CRF receptor antagonist,CRHR1
BRD-K61250553-001-02-9,loperamide,loperamide,opioid receptor agonist,"CACNA1A, CALM1, OPRD1, OPRK1, OPRM1, POMC"
BRD-K61271364-001-02-4,NA,"(1S,9R)-beta-hydrastine",GABA receptor antagonist,NA
BRD-K61323504-001-02-4,SB-225002,SB-225002,CC chemokine receptor antagonist,CXCR2
BRD-K61496577-001-03-8,flumetasone,flumetasone,glucocorticoid receptor agonist,NR3C1
BRD-K61590534-001-01-4,NA,tyrphostin 63,EGFR inhibitor,NA
BRD-K61951118-001-01-2,FG-7142,FG 7142,GABA benzodiazepine site receptor inverse agonist,
BRD-K62008436-001-03-1,paclitaxel,paclitaxel,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBB, TUBB1"
BRD-K62206109-303-01-1,VUF-5681,BRD-K62206109,histamine receptor antagonist,HRH3
BRD-K62221994-001-01-8,T-98475,BRD-K62221994,gonadotropin releasing factor hormone receptor antagonist,"GNRH1, GNRHR"
BRD-K62310379-001-03-0,fluticasone-propionate,fluticasone propionate,glucocorticoid receptor agonist,"NR3C1, NR3C2, PGR, PLA2G4A"
BRD-K62353524-001-01-8,DY-131,BRD-K62353524,estrogen receptor agonist,"ESR2, ESRRB, ESRRG"
BRD-K62363391-001-04-1,dapsone,dapsone,bacterial antifolate,DHFR
BRD-K62607865-001-03-0,aztreonam,aztreonam,bacterial cell wall synthesis inhibitor,
BRD-K62609077-001-02-2,NA,scoulerine,adrenergic receptor antagonist|GABA receptor antagonist|serotonin receptor antagonist,"ADRA1D, ADRA2A, GABRA1"
BRD-K62810658-001-05-6,PD-98059,PD 98059,MEK inhibitor,"AKT1, CHEK1, GSK3B, LCK, MAP2K1, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1"
BRD-K62996583-001-03-8,lidoflazine,lidoflazine,calcium channel blocker,"SCN1A, SCN3A, SLC29A1"
BRD-K63150726-001-01-3,NA,BRD-K63150726,cannabinoid receptor inverse agonist,CNR2
BRD-K63504947-001-05-5,semaxanib,semaxanib,VEGFR inhibitor,"FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET"
BRD-K63533170-001-01-1,AM-630,BRD-K63533170,cannabinoid receptor antagonist|cannabinoid receptor inverse agonist,"CNR2, CNR1"
BRD-K63606607-001-01-8,NA,bufalin,ATPase inhibitor|chloride channel activator,ATP1A1
BRD-K63630713-001-04-3,etacrynic-acid,etacrynic acid,sodium/potassium/chloride transporter inhibitor,"ATP1A1, SLC12A1"
BRD-K63750851-001-03-3,mycophenolic-acid,mycophenolic acid,dehydrogenase inhibitor|inositol monophosphatase inhibitor,"IMPDH1, IMPDH2"
BRD-K63792901-075-01-3,arecaidine,BRD-K63792901,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4"
BRD-K63828191-003-07-3,raloxifene,raloxifene,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),"ESR1, ESR2"
BRD-K63874012-103-01-5,thioperamide,BRD-K63874012,histamine receptor antagonist|histamine receptor inverse agonist,"HRH3, HRH4"
BRD-K63913457-001-02-7,NA,EICOSATRIENOIC ACID (20:3 n-3),vasodilator,NA
BRD-K64341947-003-01-6,CFM-1571,BRD-K64341947,guanylate cyclase activator,NA
BRD-K64670467-001-01-2,JNJ-16259685,BRD-K64670467,glutamate receptor antagonist,GRM1
BRD-K64755930-003-01-6,etazolate,etazolate,phosphodiesterase inhibitor,"GABRB3, PDE4A"
BRD-K64862097-001-03-9,fluorometholone,fluorometholone,glucocorticoid receptor agonist,NR3C1
BRD-K65285700-001-01-5,NA,BRD-K65285700,cannabinoid receptor agonist,CNR2
BRD-K65503129-001-01-4,HSP90-inhibitor,BRD-K65503129,HSP inhibitor|HSP antagonist,"HSP90AA1, HSP90AB1"
BRD-K65639003-001-02-5,icariin,ICARIIN,phosphodiesterase inhibitor,PDE5A
BRD-K65667145-001-04-1,kinetin,kinetin,cell division inducer,
BRD-K65814004-001-02-3,NA,Diphenyleneiodonium Cl,nitric oxide synthase inhibitor|aldehyde dehydrogenase inhibitor|cytochrome P450 inhibitor|NADPH oxidase inhibitor|xanthine oxidase inhibitor,"ALDH1A2, ALDH2, ALDH5A1, ALDH7A1, NOX3, XDH"
BRD-K66353228-001-05-4,zoxazolamine,zoxazolamine,myorelaxant,
BRD-K66404838-003-03-8,nalbuphine,nalbuphine,opioid receptor agonist|opioid receptor antagonist,"OPRD1, OPRK1, OPRM1"
BRD-K66715657-001-01-3,UH-232-(+),(+)-UH 232,dopamine receptor antagonist,"DRD2, DRD3, DRD4, HTR1A"
BRD-K66874953-001-02-7,pifithrin-alpha,pifithrin-alpha,TP53 inhibitor,TP53
BRD-K66898851-001-03-7,sanguinarium-chloride,sanguinarium chloride,apoptosis stimulant,CASP3
BRD-K67013324-001-01-5,luzindole,BRD-K67013324,melatonin receptor antagonist,"MTNR1B, MTNR1A"
BRD-K67043667-001-04-1,altretamine,altretamine,DNA synthesis inhibitor,
BRD-K67080878-001-05-5,milrinone,milrinone,phosphodiesterase inhibitor,"PDE2A, PDE3A, PDE3B, PDE5A"
BRD-K67277431-002-03-0,picotamide,picotamide,thromboxane receptor antagonist|thromboxane synthase inhibitor,TBXA2R
BRD-K67298865-001-02-5,SB-431542,SB-431542,TGF beta receptor inhibitor,"ACVR1C, TGFBR1"
BRD-K67439147-001-01-7,SIB-1893,BRD-K67439147,glutamate receptor antagonist,"GRM5, GRM4"
BRD-K67537649-001-01-1,PQ-401,BRD-K67537649,insulin growth factor receptor inhibitor,IGF1R
BRD-K67831364-003-01-7,ZM-323881,BRD-K67831364,vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor|VEGFR inhibitor,KDR
BRD-K67860401-001-02-3,NA,GSK-3beta inhibitor VIII,glycogen synthase kinase inhibitor,GSK3B
BRD-K68103045-001-01-1,CGS-20625,BRD-K68103045,benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist,"GABRA1, GABRA2, GABRA3, GABRA5"
BRD-K68143200-001-04-2,NSC-95397,NSC95397,CDC inhibitor,"CDC25A, CDC25B"
BRD-K68332390-001-03-3,ponalrestat,ponalrestat,aldose reductase inhibitor|reductase inhibitor,AKR1B1
BRD-K68336408-001-03-4,tyrphostin-AG-1478,tyrphostin AG-1478,EGFR inhibitor,"EGFR, MAPK14"
BRD-K68341547-003-01-6,W-9,BRD-K68341547,calmodulin antagonist,CALM2
BRD-K68402494-001-04-7,ML-9,ML-9,myosin light chain kinase inhibitor,TRPC6
BRD-K68507560-003-04-8,dicycloverine,dicycloverine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3"
BRD-K68552125-001-03-8,NA,phorbol myristate acetate,PKC activator|CD antagonist,"CD4, KCNT2, PRKCA, TRPV4"
BRD-K68553471-003-04-0,todralazine,todralazine,antihypertensive agent,
BRD-K68620903-001-03-1,dydrogesterone,dydrogesterone,progesterone receptor agonist,PGR
BRD-K68873215-001-01-3,NA,phosphodiesterase V inhibitor II,phosphodiesterase inhibitor,PDE5A
BRD-K69023402-001-02-5,NA,thapsigargin,ATPase inhibitor|calcium channel blocker|PKC activator,ATP2A1
BRD-K70246307-001-02-5,riboflavin,riboflavin,vitamin B2,"BLVRB, RFK"
BRD-K70487031-001-01-0,flupentixol,flupentixol,dopamine receptor antagonist,"ADRA1A, CHRM1, DRD1, DRD2, DRD3, DRD5, HTR2A"
BRD-K70778732-003-04-4,trazodone,trazodone,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,"ADRA1A, ADRA2A, HRH1, HTR1A, HTR2A, HTR2B, HTR2C, SLC6A4"
BRD-K70792160-003-01-2,10-DEBC,10-DEBC,AKT inhibitor,PIM1
BRD-K70914287-300-01-0,BIBX-1382,BRD-K70914287,EGFR inhibitor|tyrosine kinase inhibitor,"EGFR, ERBB2"
BRD-K71266197-236-01-9,PSB-06126,BRD-K71266197,NTPDase inhibitor,ENTPD3
BRD-K71430621-303-01-5,clobenpropit,BRD-K71430621,histamine receptor antagonist|histamine receptor inverse agonist,"HRH3, HRH4, HRH1, HRH2"
BRD-K71726959-001-05-9,NA,N9-isopropylolomoucine,CDK inhibitor,"CDK1, CDK5"
BRD-K71799778-001-02-2,NA,BML-259,CDK inhibitor,NA
BRD-K71860425-001-01-1,NA,Cdk2/5 inhibitor,CDK inhibitor,"CDK2, CDK5"
BRD-K72024482-001-01-3,MRS-1754,BRD-K72024482,adenosine receptor antagonist,"ADORA2B, ADORA1, ADORA2A, ADORA3"
BRD-K72034655-001-02-1,NA,peucedanin,apoptosis inducer|antileukemic,NA
BRD-K72676686-103-01-8,fluvoxamine,BRD-K72676686,selective serotonin reuptake inhibitor (SSRI)|serotonin reuptake inhibitor|serotonin uptake inhibitor,"SLC6A4, CYP2C19"
BRD-K72703948-001-01-0,ZM-447439,BRD-K72703948,Aurora kinase inhibitor,"AURKA, AURKB"
BRD-K72726508-001-01-3,arcyriaflavin-a,BRD-K72726508,CDK inhibitor,"CCND1, CCNE1, CDK2, CDK4"
BRD-K72783841-001-01-0,tyrphostin-AG-555,BRD-K72783841,CDK inhibitor|epidermal growth factor receptor (EGFR) inhibitor|tyrosine kinase inhibitor|EGFR inhibitor,"CDK2, EGFR"
BRD-K72895815-001-01-4,SSR-69071,BRD-K72895815,leukocyte elastase inhibitor,ELANE
BRD-K73196317-003-06-4,urapidil,urapidil,adrenergic receptor antagonist,HTR1A
BRD-K73290745-003-01-8,ICI-199441,BRD-K73290745,opioid receptor agonist,"OPRK1, CYP2D6, OPRD1, OPRM1, UTS2R"
BRD-K73323637-003-03-4,levobunolol,levobunolol,adrenergic receptor antagonist,"ADRB1, ADRB2, ADRB3"
BRD-K73323637-003-03-4,levobunolol-(+),levobunolol,adrenergic receptor antagonist,
BRD-K73397362-001-01-7,purmorphamine,purmorphamine,smoothened receptor agonist,SMO
BRD-K73789395-001-04-0,ZM-336372,ZM336372,RAF inhibitor,"BRAF, LCK, MAPK14, RAF1"
BRD-K73991644-001-01-7,isoquercetin,BRD-K73991644,aldose reductase inhibitor|falcipain inhibitor,"AKR1B1, ACE"
BRD-K74305673-001-01-3,IKK-2-inhibitor-V,BRD-K74305673,IKK inhibitor|NFkB pathway inhibitor|protein kinase inhibitor,IKBKB
BRD-K74430258-001-01-2,NA,BRD-K74430258,hepatotoxicant,NA
BRD-K75089421-001-02-5,procainamide,procainamide,sodium channel blocker,"DNMT1, SCN5A"
BRD-K75181824-001-02-3,NA,N-AGGC,inhibitor of methyl esterification of geranylgeranylated proteins,NA
BRD-K75478907-001-01-5,GS-39783,BRD-K75478907,GABA receptor modulator|GABA receptor positive allosteric modulator,GABBR1
BRD-K75958195-001-01-7,pizotifen,pizotifen,serotonin receptor antagonist,"HTR1A, HTR2A, HTR2C"
BRD-K76064317-001-04-0,tyrphostin-AG-1296,tyrphostin AG 1296,FLT3 inhibitor,FLT3
BRD-K76304753-003-04-7,NA,BRD-K76304753,local anesthetic,SCN1A
BRD-K76568384-001-01-4,PHTPP,BRD-K76568384,estrogen receptor antagonist,ESR2
BRD-K76617868-001-02-2,fasudil,fasudil,rho associated kinase inhibitor,"PKIA, PRKACA, ROCK1, ROCK2"
BRD-K76634210-001-02-2,idoxuridine,idoxuridine,DNA directed DNA polymerase inhibitor,
BRD-K76674262-001-01-7,homoharringtonine,BRD-K76674262,apoptosis stimulant|protein synthesis inhibitor,RPL3
BRD-K76723084-001-05-9,isotretinoin,isotretinoin,retinoid receptor agonist,"RARA, RARB, RARG"
BRD-K76805682-001-05-0,SB-415286,SB-415286,glycogen synthase kinase inhibitor,"GSK3A, GSK3B, RPS6KB1"
BRD-K76810206-001-05-7,nicergoline,nicergoline,adrenergic receptor antagonist,ADRA1A
BRD-K76840893-003-01-7,RS-17053,BRD-K76840893,adrenergic receptor antagonist,"ADRA1A, ADRA1D"
BRD-K76927775-001-04-3,nitrofurantoin,nitrofurantoin,DNA inhibitor,
BRD-K77133231-001-01-1,NA,PD169316,p38 MAPK inhibitor,ALOX5
BRD-K77171813-050-01-4,proxyfan,BRD-K77171813,histamine receptor modulator,HRH3
BRD-K77554836-001-03-3,triamcinolone,triamcinolone,glucocorticoid receptor agonist,"NR3C1, SERPINA6"
BRD-K77641333-003-04-0,naphazoline,naphazoline,adrenergic receptor agonist,"ADRA1A, ADRA2A"
BRD-K77677632-003-01-8,SB-200646,BRD-K77677632,serotonin receptor antagonist,"HTR2B, HTR2C"
BRD-K77695569-001-04-5,tiabendazole,tiabendazole,angiogenesis inhibitor,
BRD-K77771411-003-03-2,moxonidine,moxonidine,imidazoline receptor agonist,"ADRA2A, ADRA2B, ADRA2C"
BRD-K77793136-003-01-4,hydroxyfasudil,hydroxyfasudil,rho associated kinase inhibitor,"PKIA, PRKACA, ROCK1"
BRD-K77925998-001-01-3,quipazine,quipazine,serotonin receptor agonist,
BRD-K77947974-001-04-9,fluspirilene,fluspirilene,dopamine receptor antagonist,"CACNG1, DRD2, HRH1, HTR1A, HTR1D, HTR1E, HTR2A"
BRD-K77987382-001-05-8,mebendazole,BRD-K77987382,acetylcholinesterase inhibitor|microtubule inhibitor|tubulin inhibitor,"TUBA1A, TUBB, TUBB4B"
BRD-K78010432-001-04-1,furosemide,furosemide,diuretic,"CA2, GPR35, SLC12A1, SLC12A2"
BRD-K78084463-003-01-0,NA,W-12,calmodulin antagonist,NA
BRD-K78113049-001-04-8,enoxacin,enoxacin,topoisomerase inhibitor,TOP2A
BRD-K78122587-300-01-9,NNC-55-0396,BRD-K78122587,T-type calcium channel blocker,"CATSPER1, CATSPER2, CATSPER3, CATSPER4"
BRD-K78280988-001-02-2,anandamide,"anandamide(20:3,n-6)",cannabinoid receptor agonist|potassium channel blocker|TRPV agonist,"CNR1, CNR2, TRPV1, CACNA1G, CACNA1H, CACNA1I, GLRA1, GPR119, GPR18, GPR55, KCNA2, KCND3, KCNK3, KCNK9, TRPM8"
BRD-K78364995-236-03-5,cefotaxime,cefotaxime,bacterial cell wall synthesis inhibitor,
BRD-K78485176-001-02-9,olmesartan-medoxomil,olmesartan medoxomil,angiotensin receptor antagonist,AGTR1
BRD-K78599730-001-02-6,NA,manumycin A,farnesyltransferase inhibitor|NFkB pathway inhibitor|ras farnesyltransferase inhibitor,"FNTA, IKBKB"
BRD-K78633253-001-01-2,EXO-1,exo1,ARF inhibitor,
BRD-K78637815-001-01-4,LY-320135,BRD-K78637815,cannabinoid receptor antagonist,CNR1
BRD-K78643075-001-03-3,bromperidol,bromperidol,dopamine receptor antagonist,DRD2
BRD-K78692225-001-11-2,leflunomide,leflunomide,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor,"AHR, DHODH, PTK2B"
BRD-K78815826-001-04-7,suxibuzone,suxibuzone,cyclooxygenase inhibitor,
BRD-K78838262-001-02-4,NA,austricine,hypolipidemic,NA
BRD-K78959463-001-02-5,FPL-64176,FPL-64176,calcium channel activator,"CACNA1C, CACNA1S"
BRD-K79092138-001-04-5,NA,nitrofural,POXB inhibitor|bacterial DNA inhibitor,NA
BRD-K79116891-003-03-7,proxymetacaine,proxymetacaine,sodium channel blocker,"SCN10A, SCN5A"
BRD-K79124250-001-03-0,ioxaglic-acid,ioxaglic acid,radiopaque medium,
BRD-K79131256-001-03-9,albendazole,albendazole,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B"
BRD-K79145749-001-01-8,dibenzepine,DIBENZEPINE,norepinephrine reputake inhibitor,
BRD-K79366068-236-01-5,PSB-069,BRD-K79366068,NTPDase inhibitor,"ENTPD1, ENTPD2, ENTPD3"
BRD-K79425933-001-03-6,benperidol,benperidol,dopamine receptor antagonist,DRD2
BRD-K79501723-003-03-4,cyclizine,cyclizine,histamine receptor modulator,"HRH1, SULT1E1"
BRD-K79684402-300-01-0,RO-10-5824,BRD-K79684402,dopamine receptor partial agonist,DRD4
BRD-K79711234-001-04-3,thiamphenicol,thiamphenicol,bacterial 50S ribosomal subunit inhibitor,
BRD-K79759585-001-02-1,sildenafil,sildenafil,phosphodiesterase inhibitor,"PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3"
BRD-K79930101-300-01-1,GW-583340,BRD-K79930101,EGFR inhibitor|epidermal growth factor receptor (EGFR) inhibitor|ErbB2 tyrosine kinase inhibitor|receptor tyrosine protein kinase inhibitor,"EGFR, ERBB2"
BRD-K80315159-051-01-2,DPPE,BRD-K80315159,histamine receptor antagonist,"ABCB1, HRH1"
BRD-K80334323-001-03-5,noretynodrel,noretynodrel,progestogen hormone,PGR
BRD-K80353807-001-03-0,khellin,khellin,vasodilator,
BRD-K80451230-051-01-8,zamifenacin,BRD-K80451230,acetylcholine receptor antagonist,CHRM3
BRD-K80639402-003-01-1,SB-258585,BRD-K80639402,serotonin receptor antagonist,HTR6
BRD-K80725821-300-01-1,RS-16566,RS 16566,serotonin receptor antagonist,
BRD-K80738081-001-06-2,resveratrol,resveratrol,cytochrome P450 inhibitor|SIRT activator,"CSNK2A1, NQO2, PTGS1, PTGS2"
BRD-K80778372-001-01-7,RO-19-4605,BRD-K80778372,GABA benzodiazepine site receptor inverse agonist,"GABRA1, GABRA2, GABRA3, GABRA5"
BRD-K80946661-001-02-8,NA,triacetylresveratrol,p53 activator,NA
BRD-K80970344-201-02-9,NA,pyrrolidine dithiocarbamic acid,NFkB pathway inhibitor,"HSD11B1, RELA"
BRD-K81029756-001-02-8,NA,L-cis-DILTIAZEM,L-type calcium channel blocker|calcium channel antagonist|calcium channel blocker,"CACNA1C, CACNA1S, CACNA2D1, CACNG1, CYP3A5, CYP3A7, HTR3A, KCNA5"
BRD-K81209512-001-01-3,AG-494,BRD-K81209512,EGFR inhibitor|epidermal growth factor receptor (EGFR) inhibitor|tyrosine kinase inhibitor,EGFR
BRD-K81225797-001-01-5,SCH-58261,BRD-K81225797,adenosine receptor antagonist,"ADORA2A, ADORA1, ADORA2B, ADORA3"
BRD-K81272440-001-02-6,dantrolene,dantrolene,calcium channel blocker,"RYR1, RYR3"
BRD-K81709173-001-03-8,halcinonide,halcinonide,glucocorticoid receptor agonist,NR3C1
BRD-K81729199-001-01-0,AQ-RA741,BRD-K81729199,acetylcholine receptor antagonist,NA
BRD-K82103381-003-03-7,hydralazine,hydralazine,vasodilator,"AOC3, P4HA1"
BRD-K82484965-003-02-7,carmoxirole,BRD-K82484965,dopamine receptor agonist,DRD2
BRD-K82561139-001-01-9,NA,ricinine,casein kinase inhibitor,NA
BRD-K83063356-003-01-7,RS-102895,BRD-K83063356,CC chemokine receptor antagonist|CCR antagonist,CCR2
BRD-K83322645-103-01-6,L-693403,BRD-K83322645,sigma receptor antagonist|sigma receptor ligand,"DRD2, SIGMAR1"
BRD-K83459933-001-02-1,sinomenine,sinomenine,angiogenesis inhibitor,
BRD-K83508485-001-01-9,FK-888,BRD-K83508485,tachykinin antagonist,"TACR1, TACR2"
BRD-K84266862-001-01-6,BRL-50481,BRD-K84266862,phosphodiesterase inhibitor,"PDE7A, PDE7B"
BRD-K84421793-001-01-1,NA,R(+)-SKF-81297,dopamine receptor agonist,DRD1
BRD-K84595254-001-03-0,NA,strophanthidin,ATPase inhibitor,"ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1"
BRD-K84663978-001-02-3,trequinsin,Trequinsin hydrochloride[HL 725],phosphodiesterase inhibitor|platelet aggregation inhibitor|potassium channel blocker,"PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PTGIR"
BRD-K84663978-001-03-1,trequinsin,Trequinsin hydrochloride[HL 725],phosphodiesterase inhibitor|platelet aggregation inhibitor|potassium channel blocker,"PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PTGIR"
BRD-K84709232-001-02-6,caffeic-acid,BRD-K84709232,lipoxygenase inhibitor|HIV integrase inhibitor|NFkB pathway inhibitor|nitric oxide production inhibitor|PPAR receptor modulator|tumor necrosis factor production inhibitor,"ALOX5, MIF, RELA, TNF"
BRD-K85015012-003-01-1,NNC-05-2090,BRD-K85015012,GABA uptake inhibitor|GAT inhibitor,"SLC6A11, SLC6A12, SLC6A13"
BRD-K85242180-001-01-1,beta-CCP,PROPYL-beta-CARBOLINE-3-CARBOXYLATE,"indoleamine 2,3-dioxygenase inhibitor","GABRA1, GABRG2, IDO1"
BRD-K85266041-304-01-7,DNQX,BRD-K85266041,glutamate receptor antagonist,"GRIA1, GRIA2, GRIK1, GRIN1, GRIN2A, GRIN2B"
BRD-K85383046-001-02-5,IAA-94,R-(+)-methylindazone,chloride channel blocker,NA
BRD-K85871428-001-01-9,NA,SC 68376,p38 MAPK inhibitor,MAPK14
BRD-K85883481-001-02-6,prednisone,prednisone,glucocorticoid receptor agonist,"HSD11B1, NR3C1"
BRD-K86204871-001-02-2,terconazole,terconazole,sterol demethylase inhibitor,
BRD-K86301799-001-14-0,dipyridamole,dipyridamole,phosphodiesterase inhibitor,"ADA, PDE10A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, SLC29A1"
BRD-K86727142-001-06-6,embelin,embelin,HCV inhibitor|XIAP inhibitor,XIAP
BRD-K86882815-001-01-6,cabergoline,BRD-K86882815,dopamine receptor agonist|prolactin inhibitor|prolactin secretion inhibitor,"DRD2, ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1B, ADRA1D, ADRB1, ADRB2, HTR7, PRL"
BRD-K86958018-001-01-9,olvanil,BRD-K86958018,TRPV agonist,"TRPV1, CNR1, GPR119"
BRD-K87049188-001-03-6,NA,fusaric acid,chelating agent|dopamine beta hydroxylase inhibitor,DBH
BRD-K87510569-001-01-0,RS-504393,BRD-K87510569,CC chemokine receptor antagonist,"CCR2, CCL2"
BRD-K87696786-003-01-0,LY-456236,BRD-K87696786,glutamate receptor antagonist,GRM1
BRD-K87991767-001-02-0,NA,umbelliferone,carbonic anhydrase inhibitor|cyclooxygenase inhibitor,"CA9, CA12, PTGS2"
BRD-K88090157-050-03-3,pimethixene,pimethixene,antihistamine,
BRD-K88282786-066-04-9,NA,"WIN 55,212-2",cannabinoid receptor agonist,NA
BRD-K88358234-003-01-4,xaliproden,BRD-K88358234,serotonin receptor agonist|nerve growth factor agonist|neurotrophic factor enhancer,HTR1A
BRD-K88366685-300-03-7,trimetazidine,trimetazidine,3-ketoacyl CoA thiolase inhibitor,ACAA2
BRD-K88405679-003-01-5,thonzylamine,thonzylamine,antihistamine,
BRD-K88429204-001-04-7,pyrimethamine,pyrimethamine,dihydrofolate reductase inhibitor,"DHFR, SLC47A1"
BRD-K88544581-001-01-2,CI-976,CI-976,ACAT inhibitor,"ACAT1, CES1"
BRD-K88568253-065-02-1,iproniazid,iproniazid,monoamine oxidase inhibitor,"MAOA, MAOB"
BRD-K88677950-001-01-3,PD-198306,BRD-K88677950,MAP kinase inhibitor|MEK inhibitor,"MAP2K1, MAP2K2, MAPK1, MAPK3"
BRD-K88741031-001-01-0,"methyl-2,5-dihydroxycinnamate",BRD-K88741031,EGFR inhibitor|tyrosine kinase inhibitor,EGFR
BRD-K88743730-001-01-0,tegaserod,tegaserod,serotonin receptor partial agonist,"HTR2A, HTR2B, HTR2C, HTR4"
BRD-K88789588-001-03-2,letrozole,letrozole,aromatase inhibitor,CYP19A1
BRD-K88809146-003-02-1,tranylcypromine,tranylcypromine,monoamine oxidase inhibitor,"KDM1A, MAOA, MAOB"
BRD-K89046952-001-03-4,NA,ciclacillin,bacterial cell wall synthesis inhibitor,NA
BRD-K89055274-048-03-7,alverine,alverine,muscle relaxant,HTR1A
BRD-K89085489-001-02-6,fenretinide,fenretinide,apoptosis stimulant|retinoid receptor agonist,RARA
BRD-K89125793-001-05-4,tinidazole,tinidazole,antiprotozoal agent,
BRD-K89152108-001-03-3,liothyronine,liothyronine,thyroid hormone stimulant,"THRA, THRB"
BRD-K89210380-001-03-8,biotin,biotin,vitamin B,"ACACA, ACACB, HLCS, MCCC1, MCCC2, PC, PCCA, PCCB, SLC5A6"
BRD-K89272762-001-04-4,NPPB,NPPB,chloride channel blocker,"ANO1, CLCN2, CLCN7, TRPA1"
BRD-K89274813-001-01-5,DMP-543,BRD-K89274813,acetylcholine release enhancer,NA
BRD-K89732114-001-02-6,trifluoperazine,trifluoperazine,dopamine receptor antagonist,"ADRA1A, CALM1, CALY, DRD2, DRD4, HRH1, HTR2A, HTR2C, S100A4, TNNC1"
BRD-K89923877-003-02-4,scopolamine,scopolamine,acetylcholine receptor antagonist,
BRD-K89930444-001-01-9,NA,AG 592,tyrosine kinase inhibitor,NA
BRD-K89997465-001-02-0,chlorpromazine,chlorpromazine,dopamine receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALM1, CHRM1, CHRM3, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HRH4, HTR1A, HTR2A, HTR2B, HTR2C, HTR6, HTR7, KCNH2, ORM1, ORM2, SMPD1, TRPC5"
BRD-K90027355-001-03-4,spironolactone,spironolactone,mineralocorticoid receptor antagonist,"AR, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CYP11B2, NR3C1, NR3C2, PGR, SHBG"
BRD-K90259198-003-04-8,NA,W-7,calmodulin antagonist|potassium channel blocker|squalene monooxygenase channel blocker,"CALM1, CALM2, KCNA5, KCNH2, TNNC1, TNNI3"
BRD-K90333595-001-02-8,phentolamine,phentolamine,adrenergic receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C"
BRD-K90382497-001-01-6,GW-843682X,GW-843682X,PLK inhibitor,"PLK1, PLK3"
BRD-K90524085-001-05-2,MY-5445,MY-5445,phosphodiesterase inhibitor|platelet aggregation inhibitor,PDE5A
